id,company,x,y
450,Take-Two Interactive,460.459,364.800
451,Take-Two Interactive,450.140,335.263
452,Take-Two Interactive,444.481,315.746
453,Take-Two Interactive,454.646,336.010
454,Take-Two Interactive,456.119,341.738
455,Take-Two Interactive,461.954,329.811
456,Take-Two Interactive,421.290,307.145
457,Take-Two Interactive,433.223,350.189
458,Take-Two Interactive,422.558,364.638
459,Take-Two Interactive,400.619,337.091
460,Take-Two Interactive,415.186,315.438
461,Take-Two Interactive,407.773,330.297
462,Take-Two Interactive,403.279,334.610
463,Take-Two Interactive,451.946,317.949
464,Take-Two Interactive,426.370,303.742
465,Take-Two Interactive,446.009,321.643
466,Take-Two Interactive,418.505,373.040
467,Take-Two Interactive,406.272,332.482
468,Take-Two Interactive,408.776,336.712
469,Take-Two Interactive,425.224,318.786
470,Take-Two Interactive,421.715,371.925
471,Take-Two Interactive,455.730,355.989
472,Take-Two Interactive,467.094,359.918
473,Take-Two Interactive,427.114,300.581
474,Take-Two Interactive,459.063,342.702
475,Take-Two Interactive,477.293,341.151
476,Take-Two Interactive,476.099,332.158
477,Take-Two Interactive,407.673,353.112
478,Take-Two Interactive,426.831,358.091
479,Take-Two Interactive,428.367,373.869
480,Take-Two Interactive,448.239,346.861
481,Take-Two Interactive,448.995,357.041
482,Take-Two Interactive,467.153,343.571
483,Take-Two Interactive,415.782,319.886
484,Take-Two Interactive,417.557,367.882
485,Take-Two Interactive,437.569,357.617
486,Take-Two Interactive,458.525,349.181
487,Take-Two Interactive,446.614,377.542
488,Take-Two Interactive,431.500,335.953
489,Take-Two Interactive,468.770,309.929
490,Take-Two Interactive,449.552,307.568
491,Take-Two Interactive,475.067,347.436
492,Take-Two Interactive,472.212,318.524
493,Take-Two Interactive,483.480,336.919
494,Take-Two Interactive,428.030,331.282
495,Take-Two Interactive,427.627,311.907
496,Take-Two Interactive,464.928,338.025
497,Take-Two Interactive,445.301,308.740
498,Take-Two Interactive,452.042,298.623
499,Take-Two Interactive,437.064,377.420
500,Take-Two Interactive,433.090,344.976
501,Take-Two Interactive,432.840,381.049
502,Take-Two Interactive,458.179,336.565
503,Take-Two Interactive,430.514,332.933
504,Take-Two Interactive,443.242,372.340
505,Take-Two Interactive,468.914,334.085
506,Take-Two Interactive,436.391,346.774
507,Take-Two Interactive,438.415,360.109
508,Take-Two Interactive,435.489,356.703
509,Take-Two Interactive,430.340,343.691
510,Take-Two Interactive,445.829,346.995
511,Take-Two Interactive,468.649,362.591
512,Take-Two Interactive,474.492,338.483
513,Take-Two Interactive,450.540,325.438
514,Take-Two Interactive,414.600,312.607
515,Take-Two Interactive,418.684,341.279
516,Take-Two Interactive,441.346,369.675
517,Take-Two Interactive,411.735,328.603
518,Take-Two Interactive,466.153,308.321
519,Take-Two Interactive,434.787,336.921
520,Take-Two Interactive,453.477,380.606
521,Take-Two Interactive,462.104,361.997
522,Take-Two Interactive,444.602,350.365
523,Take-Two Interactive,452.203,315.413
524,Take-Two Interactive,457.708,320.260
525,Take-Two Interactive,479.894,345.816
526,Take-Two Interactive,466.114,323.681
